epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,2185.57,1.84781,1.34546,1.16311,0.59308,0.76471,0.64737,0.31764,1.70015,1.23301,1.22418,0.002476,0.002476,0.002476
154,2199.58,1.61469,1.31694,1.13322,0.5934,0.75,0.64449,0.31395,1.66497,1.22792,1.20601,0.0024265,0.0024265,0.0024265
155,2213.7,1.93576,1.40311,1.24579,0.59432,0.77561,0.66174,0.33124,1.64386,1.21037,1.19407,0.002377,0.002377,0.002377
156,2227.8,1.71839,1.2796,1.18558,0.62997,0.76471,0.67098,0.32359,1.64611,1.20406,1.18951,0.0023275,0.0023275,0.0023275
157,2241.93,1.78591,1.33919,1.14995,0.64246,0.79412,0.69554,0.33084,1.65018,1.19444,1.18933,0.002278,0.002278,0.002278
158,2255.98,1.73718,1.27992,1.16174,0.64038,0.78565,0.68911,0.32706,1.63962,1.18056,1.18717,0.0022285,0.0022285,0.0022285
159,2271.29,1.87869,1.37874,1.20776,0.63773,0.75075,0.68884,0.32497,1.63836,1.16391,1.18639,0.002179,0.002179,0.002179
160,2286.58,1.62313,1.3358,1.14189,0.65991,0.75,0.68319,0.31827,1.64777,1.16175,1.19178,0.0021295,0.0021295,0.0021295
161,2301.97,1.75166,1.43304,1.19736,0.65063,0.73529,0.68911,0.32376,1.65578,1.16838,1.19788,0.00208,0.00208,0.00208
162,2317.09,1.72251,1.35383,1.26058,0.61468,0.75,0.68741,0.31251,1.65143,1.18204,1.19791,0.0020305,0.0020305,0.0020305
163,2331.19,1.702,1.34028,1.1954,0.63114,0.76471,0.67643,0.30067,1.62663,1.20377,1.18969,0.001981,0.001981,0.001981
164,2345.17,1.90911,1.3334,1.23589,0.63391,0.76471,0.71909,0.30448,1.61436,1.2159,1.18662,0.0019315,0.0019315,0.0019315
165,2359.08,1.65285,1.32059,1.16807,0.63282,0.75,0.70963,0.31331,1.58267,1.21721,1.17795,0.001882,0.001882,0.001882
166,2373.29,1.76185,1.38385,1.17305,0.6272,0.75,0.70686,0.32028,1.54378,1.21419,1.16718,0.0018325,0.0018325,0.0018325
167,2387.5,1.80481,1.44412,1.19682,0.60423,0.75,0.67702,0.33059,1.52447,1.20802,1.15831,0.001783,0.001783,0.001783
168,2401.6,1.70916,1.36399,1.20664,0.61449,0.77359,0.67712,0.3256,1.52825,1.20496,1.15741,0.0017335,0.0017335,0.0017335
169,2416.25,1.71297,1.36403,1.1555,0.60812,0.77941,0.67607,0.31317,1.54027,1.21398,1.1611,0.001684,0.001684,0.001684
170,2430.81,1.74151,1.30959,1.17951,0.61753,0.80882,0.70385,0.30093,1.56373,1.23374,1.17209,0.0016345,0.0016345,0.0016345
171,2445.68,1.74484,1.27684,1.13745,0.63689,0.79964,0.70163,0.29953,1.5779,1.24679,1.17842,0.001585,0.001585,0.001585
172,2460.29,1.64357,1.38301,1.16022,0.63203,0.8083,0.70504,0.29272,1.59702,1.2379,1.18585,0.0015355,0.0015355,0.0015355
173,2475.01,1.77972,1.32094,1.16889,0.61919,0.79412,0.70833,0.30234,1.615,1.22513,1.18983,0.001486,0.001486,0.001486
174,2489.63,1.84157,1.29019,1.18856,0.60544,0.78984,0.68467,0.30238,1.62259,1.21536,1.18948,0.0014365,0.0014365,0.0014365
175,2504.16,1.80342,1.29976,1.11615,0.62883,0.83824,0.68588,0.3179,1.62213,1.20303,1.18794,0.001387,0.001387,0.001387
176,2518.58,1.79631,1.42516,1.2132,0.57006,0.82353,0.65079,0.31431,1.60161,1.19067,1.18001,0.0013375,0.0013375,0.0013375
177,2533.06,1.62901,1.25586,1.13179,0.55696,0.80882,0.65418,0.31781,1.57756,1.1779,1.16949,0.001288,0.001288,0.001288
178,2547.34,1.68624,1.18854,1.14801,0.56157,0.79412,0.66499,0.32672,1.5717,1.17569,1.16713,0.0012385,0.0012385,0.0012385
179,2561.43,1.8133,1.27398,1.23,0.57158,0.79412,0.6805,0.3298,1.56965,1.16659,1.16675,0.001189,0.001189,0.001189
180,2575.56,1.66318,1.28871,1.1145,0.60242,0.77941,0.68088,0.32988,1.57399,1.15804,1.16752,0.0011395,0.0011395,0.0011395
181,2589.54,1.80617,1.29102,1.20505,0.64235,0.75,0.69447,0.33619,1.58015,1.15736,1.16834,0.00109,0.00109,0.00109
182,2602.38,1.72787,1.43768,1.12463,0.64554,0.75,0.6997,0.34012,1.57752,1.15196,1.16697,0.0010405,0.0010405,0.0010405
183,2616.26,1.97994,1.26065,1.11878,0.65441,0.76471,0.70622,0.34288,1.56692,1.14723,1.16419,0.000991,0.000991,0.000991
184,2630.23,1.74041,1.30817,1.20644,0.66227,0.72094,0.71055,0.34691,1.55295,1.13917,1.16098,0.0009415,0.0009415,0.0009415
